id,name,type,typecode,address,tel,pcode,pname,citycode,cityname,adcode,adname,bigType,midType,smallType,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84
B0K2798MIX,Taipa Houses Public Toilet,公共设施;公共厕所;公共厕所,200300,飞能便度街与老虎巷交叉口东80米,[],820000,澳门特别行政区,1853,澳门特别行政区,820006,嘉模堂区,公共设施,公共厕所,公共厕所,113.56414,22.150859,113.55907696152524,22.153811745291005
B0FFLIQWJ1,无障碍洗手间,公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路路凼金光大道四季名店F1,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.567178,22.143228,113.56212184734156,22.14618275545861
B0K22CJXZR,公共厕所(威尼斯人购物中心),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路威尼斯人购物中心L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.566447,22.14425,113.5613892782308,22.14720399094816
B0K22CENH5,公共厕所(迪斐世澳门四季名店),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.567141,22.143161,113.56208477601793,22.146115670602747
B0K22CA64I,公共厕所(迪斐世澳门四季名店),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L2层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.566874,22.143619,113.56181719974944,22.14657342692849
B0K22CA64J,无障碍洗手间(迪斐世澳门四季名店),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L2层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.566911,22.143611,113.56185427626464,22.14656548268854
B0K22CDJO8,公共厕所(迪斐世澳门四季名店),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L1M层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.566896,22.14362,113.56183924488616,22.14657446235304
B0K22C7UCR,无障碍洗手间(迪斐世澳门四季名店),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L1M层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.566874,22.143619,113.56181719974944,22.14657342692849
B0K22CG3HP,母婴室(威尼斯人购物中心),公共设施;公共厕所;婴儿换洗间/哺乳室/母婴室,200304,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,婴儿换洗间/哺乳室/母婴室,113.565395,22.144957,113.56033502851264,22.147909551457285
B0K22CGQLQ,无障碍洗手间(威尼斯人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.564929,22.146417,113.55986794400565,22.14936934814907
B0K22CDJO3,公共厕所(威尼斯人购物中心),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.564902,22.146394,113.55984088772983,22.149346293980862
B0K22C9JAV,公共厕所(威尼斯人购物中心),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.566111,22.143786,113.56105260867056,22.146739265252865
B0K22CCX1R,无障碍洗手间(威尼斯人购物中心),公共设施;公共厕所;残障洗手间/无障碍洗手间,200303,望德圣母湾大马路威尼斯人购物中心L3层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,残障洗手间/无障碍洗手间,113.566142,22.143786,113.56108367336856,22.14673931558496
B0K22CBF74,公共厕所(迪斐世澳门四季名店),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L2层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.567139,22.142254,113.56208282957176,22.145208310267464
B0K22CJ3B4,公共厕所(迪斐世澳门四季名店),公共设施;公共厕所;公共厕所,200300,望德圣母湾大马路路凼金光大道四季名店迪斐世澳门四季名店L1层,[],820000,澳门特别行政区,1853,澳门特别行政区,820007,路氹填海区,公共设施,公共厕所,公共厕所,113.567012,22.142423,113.56195555894531,22.14537717563985
